OBJECTID;SAMPLING;EAST;NORTH;C;Ca_exch;Mg_exch;K_exch;Na_exch
36;regular;491641,000;3123240,000;1,117;12,176;3,806;1,949;0,635
37;regular;491641,000;3123990,000;0,401;4,122;1,740;1,079;0,078
38;regular;491791,000;3121590,000;0,326;13,822;4,747;1,852;0,043
39;regular;491791,000;3121740,000;0,219;3,962;2,788;1,494;0,035
40;regular;491791,000;3121890,000;0,451;7,106;3,174;1,151;0,052
41;regular;491791,000;3122040,000;0,670;13,703;6,316;1,299;0,070
42;regular;491791,000;3122190,000;0,979;11,547;2,551;0,880;0,400
43;regular;491791,000;3122340,000;1,434;26,198;7,896;6,655;0,487
43;regular;492911,000;3123372,000;-9999,000;-9999,000;-9999,000;-9999,000;-9999,000
44;regular;491791,000;3123690,000;0,507;30,639;6,804;1,309;0,418
45;regular;491791,000;3123990,000;0,506;10,369;3,891;3,391;0,104
46;regular;491941,000;3122340,000;1,551;21,447;5,732;6,230;0,278
47;regular;491941,000;3123090,000;1,855;32,385;5,285;1,018;0,391
48;regular;491941,000;3123240,000;1,317;44,361;3,615;0,916;0,644
49;regular;491941,000;3123390,000;0,387;8,453;2,730;1,136;0,200
50;regular;491941,000;3123540,000;0,437;6,806;2,345;0,762;0,217
51;regular;491941,000;3123690,000;0,361;16,387;2,942;1,176;0,191
52;regular;491941,000;3123990,000;1,289;12,206;2,308;0,471;0,270
53;regular;491941,000;3124140,000;1,435;15,299;2,638;1,151;0,391
54;regular;492091,000;3122340,000;1,457;37,575;5,270;0,660;0,592
55;regular;492091,000;3122490,000;1,198;20,539;5,331;3,703;0,557
56;regular;492091,000;3124440,000;0,264;3,992;1,423;1,166;0,070
57;regular;492091,000;3124590,000;0,373;14,611;4,378;2,813;0,287
58;regular;492241,000;3122340,000;1,406;20,030;5,211;2,716;0,374
59;regular;492241,000;3122490,000;0,576;33,683;8,191;4,102;0,000
60;regular;492241,000;3123990,000;0,530;7,625;3,161;3,621;0,017
61;regular;492241,000;3124140,000;1,788;29,242;5,929;1,790;0,313
62;regular;492241,000;3124290,000;0,870;13,224;2,316;0,414;0,261
63;regular;492241,000;3124440,000;0,649;3,772;1,939;1,990;0,000
64;regular;492241,000;3124590,000;1,512;28,044;4,581;1,028;0,531
65;regular;492391,000;3122490,000;0,464;13,074;4,760;4,138;0,017
66;regular;492391,000;3123990,000;0,376;10,768;4,339;2,332;0,017
67;regular;492391,000;3124140,000;0,721;14,391;3,322;1,386;0,261
68;regular;492541,000;3122040,000;1,606;33,134;5,298;2,194;0,844
69;regular;492541,000;3122490,000;0,618;31,936;6,697;1,335;0,670
70;regular;492541,000;3122640,000;1,237;30,988;6,076;0,696;0,731
71;regular;492691,000;3122040,000;0,497;19,431;5,928;4,711;0,122
72;regular;492691,000;3122190,000;0,498;15,210;5,087;2,404;0,322
73;regular;492691,000;3122640,000;2,027;36,178;6,671;0,875;0,600
74;regular;492691,000;3122790,000;0,934;11,367;3,008;0,798;0,278
75;regular;492691,000;3123840,000;1,707;39,122;6,082;0,824;0,565
76;regular;492691,000;3123990,000;0,925;18,263;3,462;1,217;0,313
77;regular;492691,000;3124140,000;0,877;35,279;4,482;0,614;2,262
77;regular;492710,000;3123871,000;-9999,000;-9999,000;-9999,000;-9999,000;-9999,000
78;regular;492841,000;3122190,000;1,203;15,579;4,599;1,939;0,809
79;regular;492841,000;3122340,000;0,610;16,906;3,623;0,808;0,444
80;regular;492841,000;3122790,000;1,822;46,607;6,342;1,581;0,496
81;regular;492841,000;3122940,000;1,697;47,255;6,268;1,816;0,522
82;regular;492841,000;3123690,000;1,512;34,880;5,551;2,225;0,661
83;regular;492841,000;3123840,000;1,894;34,082;5,056;4,593;0,357
84;regular;492841,000;3123990,000;1,762;44,212;5,595;5,033;1,644
85;regular;492841,000;3124140,000;1,636;33,383;6,296;1,811;0,261
86;regular;492991,000;3121890,000;0,909;71,707;10,304;2,020;0,052
87;regular;492991,000;3122040,000;1,121;35,130;5,090;0,645;0,670
88;regular;492991,000;3123540,000;0,469;17,246;6,770;4,486;0,087
89;regular;492991,000;3123690,000;1,011;16,876;3,194;1,187;0,252
90;regular;492991,000;3123840,000;1,158;44,611;6,612;1,969;0,365
91;regular;492991,000;3123990,000;1,231;58,034;7,901;0,419;0,887
92;regular;493141,000;3122040,000;0,724;30,938;3,145;0,471;0,452
93;regular;493141,000;3123390,000;0,916;28,892;7,036;3,105;0,304
94;regular;493141,000;3123540,000;0,741;19,361;7,168;3,836;0,148
95;regular;493141,000;3123690,000;0,955;22,904;4,485;0,752;0,478
96;regular;493141,000;3123840,000;1,388;35,379;4,956;0,496;-0,496
97;regular;493141,000;3123990,000;0,438;11,956;3,252;0,767;0,217
98;regular;493291,000;3122940,000;1,536;36,627;7,622;1,980;0,452
99;regular;493291,000;3123090,000;0,432;94,311;7,921;4,179;0,035
100;regular;493291,000;3123390,000;0,350;14,691;7,888;3,586;0,130
101;regular;493291,000;3123540,000;0,452;18,443;5,169;1,402;0,209
102;regular;493291,000;3123840,000;1,014;23,104;7,924;2,153;0,374
103;regular;493291,000;3123990,000;1,227;27,994;4,969;0,957;0,557
104;regular;493441,000;3122340,000;0,364;21,677;8,008;1,601;0,078
105;regular;493441,000;3122490,000;0,853;11,048;3,683;1,647;0,244
